name	n_vox	peak_x	peak_y	peak_z	peak_t	found_by	paper_dist_mm	rpe_pos	rpe_neg	urpe_pos	urpe_neg	surprise_pos	surprise_neg
Caudate / Putamen R	24306	17.5	14.5	-12.0	19.28787963568574	rpe +	0.7	1.0	0.0	0.0	0.17530650868098413	0.0029622315477659837	0.0
Caudate / Putamen R (2)	1680	2.5	17.5	-8.5	8.10778550654578	urpe −	16.3	0.8982142857142857	0.0	0.0	1.0	0.0	0.0
Cingulate Gyrus L	901	-9.5	-30.5	44.0	8.004529200640798	urpe −		0.7680355160932297	0.0	0.0	1.0	0.003329633740288568	0.0
Visual cortex (mid/lat occipital) L	823	-57.5	-66.5	2.0	7.378065778506331	urpe −	19.3	0.9781287970838396	0.0	0.0	1.0	0.007290400972053463	0.0
Middle Temporal Gyrus R	697	47.5	-81.5	2.0	7.307262157683917	urpe −		0.9282639885222381	0.0	0.0	1.0	0.005738880918220947	0.0
Inferior Parietal Lobule R	220	53.5	-24.5	19.5	5.923680784504265	urpe −		0.031818181818181815	0.0	0.0	1.0	0.0	0.0
Superior Temporal Gyrus R	217	62.5	-3.5	-26.0	7.23340673540267	rpe +		1.0	0.0	0.0	0.16589861751152074	0.0	0.0
Postcentral Gyrus R	215	50.5	-21.5	54.5	6.4322131916470715	urpe −		0.9069767441860465	0.0	0.0	1.0	0.0	0.0
DLPFC L	161	-33.5	32.5	40.5	6.635410344996715	urpe −	12.6	0.9316770186335404	0.0	0.0	1.0	0.0	0.0
dmPFC R	143	2.5	32.5	37.0	8.018432458136942	urpe +	0.7	0.0	0.15384615384615385	1.0	0.0	0.0	0.0
Superior frontal sulcus R	131	47.5	23.5	37.0	5.049338683084873	urpe +	0.7	0.0	0.0	1.0	0.0	0.0	0.0
Frontal middle gyrus R	127	32.5	59.5	2.0	5.463123266123218	urpe +	0.7	0.0	0.0	1.0	0.0	0.0	0.0
Insula R	200	44.5	23.5	2.0	7.463004798996949	rpe − | urpe +	11.0	0.0	0.605	0.59	0.0	0.0	0.0
Inferior Parietal Lobule L	90	-48.5	-36.5	26.5	5.368321343998864	urpe −		0.14444444444444443	0.0	0.0	1.0	0.0	0.0
Precuneus L	52	-3.5	-54.5	40.5	6.010806433552538	surprise +	0.9	0.3269230769230769	0.0	0.0	0.057692307692307696	1.0	0.0
Inferior Frontal Gyrus L	50	-48.5	11.5	16.0	4.900178962684452	rpe +		1.0	0.0	0.0	0.0	0.0	0.0
Superior Temporal Gyrus L	33	-51.5	-54.5	19.5	4.561860433455787	surprise +		0.7878787878787878	0.0	0.0	0.18181818181818182	1.0	0.0
Insula L	32	-33.5	26.5	-1.5	5.470666823220433	urpe +	0.9	0.0	0.0	1.0	0.0	0.0	0.0
Superior Frontal Gyrus R	27	5.5	20.5	58.0	5.132980021459892	rpe −		0.0	1.0	0.07407407407407407	0.0	0.0	0.0
Inferior parietal lobule R	27	44.5	-45.5	47.5	4.679358788211899	urpe +	0.9	0.0	0.0	1.0	0.0	0.0	0.0
Angular gyrus R	27	47.5	-72.5	37.0	4.826601469269317	surprise +	0.7	1.0	0.0	0.0	0.14814814814814814	1.0	0.0
